pixels	vol_theo	vol_num	a_theo	a_faces	a_marching	a_conv_marching	a_porespy	a_gradient	a_conv_gradient	a_gradient_GPU	t_faces	t_marching	t_conv_marching	t_porespy	t_gradient	t_conv_gradient	t_gradient_GPU	con_s_side	con_s_edge	con_s_corner	con_p_side	con_p_edge	con_p_corner	tau_solid	tau_pore
6	0.8445515192985594	0.8148148148148148	0.8122307876317102	0.8000000417232513	0.20257024411801938	0.05753080050150553	0.8408723054108797	0.5876305705105347	0.24076381816453413	0.5876305898030599	0.0007548332214355469	0.0002186298370361328	0.0009944438934326172	0.017011165618896484	0.0001125335693359375	0.00018358230590820312	0.0004162788391113281	1.0	1.0	1.0	0.0	0.0	1.0	1.2849000692367554	0.0
7	0.8445515192985589	0.8338192419825073	0.6961978179700373	0.9183673560619354	0.43941722458375093	0.1205045516567397	0.8314047944093932	0.4041153903785851	0.2166028996807693	0.40411537103680756	0.0005362033843994141	0.0002803802490234375	0.000194549560546875	0.016515731811523438	0.00010776519775390625	0.00018715858459472656	0.00038051605224609375	1.0	1.0	1.0	0.0	0.0	1.0	1.4568208456039429	0.0
8	0.8445515192985591	0.875	0.6091730907237826	0.6428571492433548	0.16664919257164001	0.024270804598927498	0.6444176435470581	0.37234573467065923	0.2085240598459337	0.3723457455635071	0.0005307197570800781	0.0002243518829345703	0.00018453598022460938	0.016417741775512695	0.00015926361083984375	0.00029015541076660156	0.00038504600524902344	1.0	1.0	1.0	0.0	0.0	1.0	1.2387022972106934	0.0
9	0.8445515192985594	0.8203017832647462	0.5414871917544737	0.7129629850387573	0.49036833419067216	0.07874528861340181	0.6208600749367713	0.41225848142803834	0.2263539235862735	0.41225848832411693	0.0005538463592529297	0.0004012584686279297	0.0002181529998779297	0.016344070434570312	0.00028395652770996094	0.00014781951904296875	0.0003867149353027344	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
10	0.8445515192985592	0.784	0.4873384725790261	0.9066666662693024	0.6516666259765626	0.11248292541503906	0.636937744140625	0.42535181843230646	0.21830901688919657	0.4253518371582031	0.0005948543548583984	0.0006392002105712891	0.0002734661102294922	0.016396284103393555	0.0001971721649169922	0.00023436546325683594	0.00037026405334472656	1.0	1.0	1.0	0.0	1.0	1.0	2.0184364318847656	0.0
11	0.844551519298559	0.8414725770097671	0.44303497507184186	0.5404958724975586	0.3419826401524934	0.10433526615913787	0.5320605615491172	0.2955876022659799	0.19434284484748537	0.2955875984266412	0.0006010532379150391	0.00048470497131347656	0.0003235340118408203	0.01654839515686035	0.0002677440643310547	0.00015974044799804688	0.00037789344787597656	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
12	0.8445515192985594	0.7777777777777778	0.4061153938158551	0.6060605943202972	0.4246586693657769	0.15249065116599755	0.5228231924551504	0.3553480205523318	0.235942924681479	0.3553480218957972	0.0006318092346191406	0.0006723403930664062	0.00037479400634765625	0.016666650772094727	0.0002808570861816406	0.00016832351684570312	0.00037407875061035156	1.0	1.0	1.0	0.0	1.0	1.0	1.5909489393234253	0.0
13	0.8445515192985596	0.8438780154756486	0.37487574813771257	0.46449704468250275	0.3233869272196461	0.12452010865313495	0.4973870174527765	0.26215377266050094	0.19152074485347093	0.2621537748118884	0.0006537437438964844	0.0006477832794189453	0.0003826618194580078	0.016757965087890625	0.0002779960632324219	0.000171661376953125	0.0003757476806640625	1.0	1.0	1.0	0.0	1.0	1.0	1.3196161985397339	0.0
14	0.8445515192985589	0.8396501457725948	0.34809890898501866	0.47095759212970734	0.37925475540383563	0.10592653591500774	0.44886997767857145	0.2717145606278152	0.18518845567163666	0.2717145691807694	0.0006804466247558594	0.0008924007415771484	0.0004119873046875	0.016777753829956055	0.0002868175506591797	0.00017547607421875	0.00037598609924316406	1.0	1.0	1.0	0.0	1.0	1.0	1.3317822217941284	0.0
15	0.8445515192985592	0.8213333333333334	0.32489231505268407	0.47428572177886963	0.32081995081018516	0.19153606047453703	0.5125227141203703	0.27444625856387195	0.18990287038090928	0.27444625289351854	0.0007300376892089844	0.0008959770202636719	0.0006170272827148438	0.017163753509521484	0.00025272369384765625	0.000270843505859375	0.000377655029296875	1.0	1.0	1.0	0.7495854063018241	1.0	1.0	1.4311984777450562	6.409328460693359
