Radius	vol_theo	vol_num	vol_PF_eq	a_theo	a_faces	a_marching	a_conv_marching	a_porespy	a_gradient	a_conv_gradient	a_gradient_GPU	a_PF_eq	t_faces	t_marching	t_conv_marching	t_porespy	t_gradient	t_conv_gradient	t_gradient_GPU
2	0.0024240684055476798	0.0023148148148148147	0.00289381183830489	0.00363610260832152	0.005434782608695652	0.0034030891127056545	0.002640052526085465	0.002640051974190606	0.003599187821130184	0.003129312694540897	0.003599187842121831	0.0031917741432736964	0.0021164417266845703	0.0004940032958984375	0.004284858703613281	0.0202791690826416	0.00043201446533203125	0.00035071372985839844	0.0007922649383544922
3	0.006434759645495706	0.007737824305871643	0.008792699650891933	0.006434759645495707	0.01136094674556213	0.007484166905399231	0.006626796765820135	0.006626796765820135	0.007638404361130645	0.0070802734867445325	0.007638404300986609	0.007027214984101436	0.0016565322875976562	0.0004131793975830078	0.0005314350128173828	0.01592874526977539	0.0005249977111816406	0.00038552284240722656	0.0005173683166503906
4	0.012212216340485103	0.012755102040816327	0.01386582507573881	0.009159162255363828	0.01473922902494331	0.010125157436893564	0.008941256965214587	0.008941256965214587	0.010248648425611016	0.009277226119351938	0.010248648529497598	0.009208753315187689	0.0019066333770751953	0.0005133152008056641	0.0006537437438964844	0.015887975692749023	0.0004711151123046875	0.0004520416259765625	0.0012197494506835938
5	0.019392547244381438	0.020444444444444446	0.02159626228504788	0.011635528346628864	0.01839080459770115	0.01308009620949074	0.01178632382993345	0.01178632496021412	0.013180500129614829	0.012031125616940398	0.013180500171802662	0.011875818696557577	0.0022192001342773438	0.0006506443023681641	0.0008232593536376953	0.016260862350463867	0.0005114078521728516	0.0005152225494384766	0.0008490085601806641
7	0.036554931819706184	0.037451658864237736	0.03857537475924573	0.01566639935130265	0.02453601761560239	0.016983199939692842	0.01579174412114543	0.01579174412114543	0.017052172427177173	0.01607115626912383	0.01705217196454639	0.01583495592707078	0.0030333995819091797	0.0009534358978271484	0.0012569427490234375	0.018897056579589844	0.0006496906280517578	0.0008924007415771484	0.0007166862487792969
10	0.06544984694978735	0.066	0.06699133989760679	0.019634954084936207	0.030384615384615385	0.021307559967041017	0.01983889389038086	0.01983889389038086	0.021349918916208466	0.020027393531825668	0.021349918365478514	0.019713774705353314	0.003366231918334961	0.002244710922241211	0.0028820037841796875	0.020334720611572266	0.0007951259613037109	0.001300811767578125	0.0014531612396240234
20	0.1551403779550515	0.15533333333333332	0.1559247326471566	0.023271056693257727	0.035706214689265534	0.025437712492766204	0.023596910264756944	0.023596910264756944	0.025450263339762025	0.02376207930262471	0.02545026312934028	0.02334797681587999	0.007806062698364258	0.00793600082397461	0.010114192962646484	0.027252674102783203	0.0020232200622558594	0.0039055347442626953	0.0013871192932128906
50	0.30300855069345994	0.3032314814814815	0.3034170236703946	0.018180513041607598	0.027521008403361344	0.019791524251302085	0.01844569679542824	0.0184456945348669	0.01979309567159507	0.018555353132673865	0.019793095341435186	0.018250288050786285	0.05296039581298828	0.05721592903137207	0.07424259185791016	0.0903170108795166	0.018396854400634766	0.03163504600524902	0.0012845993041992188
100	0.3933875098409458	0.3933974455296769	0.39345766617041833	0.011801625295228374	0.017790105286991962	0.012843566573534936	0.011970304722717881	0.011970304722717881	0.012843821710811078	0.012037588562038437	0.012843821903174304	0.011842866723220337	0.3677561283111572	0.263805627822876	0.2887232303619385	0.3526279926300049	0.14033722877502441	0.22776174545288086	0.006467580795288086
200	0.4523043089068557	0.4523185401144585	0.4523358544776262	0.006784564633602836	0.010202133359310311	0.0073814492562898175	0.006880973470737501	0.006880973470737501	0.007381485302030354	0.006919621656460506	0.00738148468712882	0.006807952654176129	2.444511890411377	1.1963849067687988	1.7602825164794922	2.336515426635742	0.942136287689209	1.5543622970581055	0.07496190071105957
300	0.47454489413427103	0.4745515088449532	0.4745595861664389	0.004745448941342711	0.007130899927545856	0.005163652088718069	0.004813365403981068	0.004813365403981068	0.005163662541039303	0.004840321288143941	0.005163662578463294	0.0047620057881044425	8.301078081130981	3.4960129261016846	5.633288860321045	7.38016414642334	3.0042884349823	7.327852725982666	0.22858214378356934
